"region","year","mean","lower","upper","model"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2021,3.74367825776364,1.60543871569086,5.88191779983642,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2022,3.85501468152239,1.57999262770423,6.13003673534056,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2023,3.92847355057265,1.59641168760322,6.26053541354207,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2024,3.97694111635179,1.62047969026502,6.33340254243856,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2025,4.00891962300356,1.64191502536331,6.37592422064381,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2026,4.03001878222971,1.65843911817943,6.40159844627998,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2027,4.04393983629573,1.6703712849704,6.41750838762106,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2028,4.05312483481781,1.67869099094519,6.42755867869043,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2029,4.05918502231873,1.68437459317844,6.43399545145902,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2030,4.06318348486154,1.68820913726939,6.4381578324537,"arima"
